Path,Problem,Format,Objective,Dataset,Number of jobs,Number of machines,Time limit,Best known solution value,Best known bound
taillard1993/tai20_20_4.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,20,18,34557,32684.98
taillard1993/tai20_20_5.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,20,18,32564,32040.23
taillard1993/tai20_20_6.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,20,18,32922,32221.97
taillard1993/tai20_20_7.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,20,18,32412,31538.05
taillard1993/tai20_20_8.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,20,18,33600,31926
taillard1993/tai20_20_9.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,20,20,18,32262,31477.2
taillard1993/tai50_5_0.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,5,11.25,64802,63425.08
taillard1993/tai50_5_1.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,5,11.25,68051,66309.69
taillard1993/tai50_5_2.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,5,11.25,63162,61567.2
taillard1993/tai50_5_3.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,5,11.25,68226,66458.52
taillard1993/tai50_5_4.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,5,11.25,69351,67629.56
taillard1993/tai50_5_5.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,5,11.25,66841,65901.21
taillard1993/tai50_5_6.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,5,11.25,66253,64867.45
taillard1993/tai50_5_7.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,5,11.25,64332,62908.35
taillard1993/tai50_5_8.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,5,11.25,62981,61482.92
taillard1993/tai50_5_9.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,5,11.25,68770,67123.46
taillard1993/tai50_10_0.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,10,22.5,87114,81457.49
taillard1993/tai50_10_1.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,10,22.5,82820,77769.23
taillard1993/tai50_10_2.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,10,22.5,79931,75553.61
taillard1993/tai50_10_3.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,10,22.5,86446,80360.36
taillard1993/tai50_10_4.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,10,22.5,86377,80971.24
taillard1993/tai50_10_5.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,10,22.5,86587,80746.51
taillard1993/tai50_10_6.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,10,22.5,88750,83445.2
taillard1993/tai50_10_7.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,10,22.5,86727,81293.29
taillard1993/tai50_10_8.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,10,22.5,85441,79599.33
taillard1993/tai50_10_9.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,10,22.5,87998,82597.34
taillard1993/tai50_20_0.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,20,45,125831,110779.46
taillard1993/tai50_20_1.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,20,45,119247,108234.5
taillard1993/tai50_20_2.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,20,45,116459,105693.5
taillard1993/tai50_20_3.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,20,45,120261,108682.29
taillard1993/tai50_20_4.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,20,45,118184,104864.01
taillard1993/tai50_20_5.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,20,45,120586,106614.11
taillard1993/tai50_20_6.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,20,45,122880,109049.19
taillard1993/tai50_20_7.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,20,45,122489,108754.38
taillard1993/tai50_20_8.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,20,45,121872,107458.13
taillard1993/tai50_20_9.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,50,20,45,123954,110327.42
taillard1993/tai100_5_0.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,5,22.5,252687,248085.57
taillard1993/tai100_5_1.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,5,22.5,241702,237414.97
taillard1993/tai100_5_2.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,5,22.5,237289,233236.38
taillard1993/tai100_5_3.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,5,22.5,227335,223001.21
taillard1993/tai100_5_4.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,5,22.5,240114,235251.37
taillard1993/tai100_5_5.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,5,22.5,231992,227625.84
taillard1993/tai100_5_6.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,5,22.5,239994,235913.31
taillard1993/tai100_5_7.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,5,22.5,230290,225998.5
taillard1993/tai100_5_8.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,5,22.5,247417,242577.86
taillard1993/tai100_5_9.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,5,22.5,242933,238147.21
taillard1993/tai100_10_0.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,10,45,296990,283005.2
taillard1993/tai100_10_1.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,10,45,273014,259208.82
taillard1993/tai100_10_2.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,10,45,287584,271813.41
taillard1993/tai100_10_3.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,10,45,299467,283451.6
taillard1993/tai100_10_4.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,10,45,283437,267821.37
taillard1993/tai100_10_5.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,10,45,268373,253800.63
taillard1993/tai100_10_6.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,10,45,279463,264572.14
taillard1993/tai100_10_7.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,10,45,289334,273381.62
taillard1993/tai100_10_8.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,10,45,301007,286021.91
taillard1993/tai100_10_9.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,10,45,290038,276762.89
taillard1993/tai100_20_0.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,20,90,365333,322937.7
taillard1993/tai100_20_1.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,20,90,370605,331942.97
taillard1993/tai100_20_2.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,20,90,368971,329667.79
taillard1993/tai100_20_3.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,20,90,371683,332064.91
taillard1993/tai100_20_4.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,20,90,367702,328577.91
taillard1993/tai100_20_5.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,20,90,369821,327315.43
taillard1993/tai100_20_6.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,20,90,372176,331099.33
taillard1993/tai100_20_7.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,20,90,382766,339644.64
taillard1993/tai100_20_8.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,20,90,372817,330702.73
taillard1993/tai100_20_9.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,100,20,90,378566,339754.76
taillard1993/tai200_10_0.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,200,10,90,1035643,998469.9
taillard1993/tai200_10_1.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,200,10,90,1025067,988625.43
taillard1993/tai200_10_2.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,200,10,90,1038936,1001693.83
taillard1993/tai200_10_3.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,200,10,90,1019215,984205.61
taillard1993/tai200_10_4.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,200,10,90,1023655,985397.3
taillard1993/tai200_10_5.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,200,10,90,994767,957895.26
taillard1993/tai200_10_6.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,200,10,90,1038357,1000477.26
taillard1993/tai200_10_7.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,200,10,90,1033371,1000307.85
taillard1993/tai200_10_8.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,200,10,90,1012593,975347.06
taillard1993/tai200_10_9.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,200,10,90,1017386,978537.5
taillard1993/tai200_20_0.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,200,20,180,1205091,1102941.86
taillard1993/tai200_20_1.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,200,20,180,1225195,1115381.71
taillard1993/tai200_20_2.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,200,20,180,1248315,1130764.69
taillard1993/tai200_20_3.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,200,20,180,1217648,1119826.64
taillard1993/tai200_20_4.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,200,20,180,1204433,1105327.45
taillard1993/tai200_20_5.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,200,20,180,1207774,1108726.36
taillard1993/tai200_20_6.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,200,20,180,1224972,1123430.72
taillard1993/tai200_20_7.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,200,20,180,1222949,1123984.67
taillard1993/tai200_20_8.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,200,20,180,1212807,1098798.57
taillard1993/tai200_20_9.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,200,20,180,1229039,1127270.58
taillard1993/tai500_20_0.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,500,20,450,6535355,6191253.65
taillard1993/tai500_20_1.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,500,20,450,6646357,6301558.79
taillard1993/tai500_20_2.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,500,20,450,6592559,6261525.71
taillard1993/tai500_20_3.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,500,20,450,6605752,6281508.02
taillard1993/tai500_20_4.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,500,20,450,6560347,6240001.85
taillard1993/tai500_20_5.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,500,20,450,6564003,6269214.53
taillard1993/tai500_20_6.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,500,20,450,6540347,6223303.96
taillard1993/tai500_20_7.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,500,20,450,6594903,6277413.77
taillard1993/tai500_20_8.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,500,20,450,6547794,6203828.97
taillard1993/tai500_20_9.txt,permutationflowshopschedulingtct,flow-shop,total-flow-time,permutationflowshopschedulingtct_taillard1993,500,20,450,6592858,6272934.31
